1011334,3-D Man,12
1017100,A-Bomb (HAS),4
1009144,A.I.M.,53
1010699,Aaron Stack,14
1009146,Abomination (Emil Blonsky),58
1016823,Abomination (Ultimate),2
1009148,Absorbing Man,103
1009149,Abyss,8
1010903,Abyss (Age of Apocalypse),3
1011266,Adam Destine,0
1010354,Adam Warlock,202
1010846,Aegis (Trey Rollins),0
1017851,Aero (Aero),29
1012717,Agatha Harkness,23
1011297,Agent Brand,35
1011031,Agent X (Nijo),18
1009150,Agent Zero,29
1011198,Agents of Atlas,45
1011175,Aginar,0
1011136,Air-Walker (Gabriel Lan),4
1011176,Ajak,4
1010870,Ajaxis,0
1011194,Akemi,0
1011170,Alain,0
1009240,Albert Cleary,0
1011120,Albion,1
1010836,Alex Power,18
1010755,Alex Wilder,9
1011214,Alexa Mendez,0
1009497,Alexander Pierce,1
1014990,Alice,0
1009435,Alicia Masters,77
1010370,Alpha Flight,221
1011324,Alpha Flight (Ultimate),2
1011164,Alvin Maker,0
1011227,Amadeus Cho,150
1009567,Amanda Sefton,0
1011382,Amazoness,0
1011361,American Eagle (Jason Strongbow),6
1009151,Amiko,12
1010672,Amora,13
1010673,Amphibian (Earth-712),4
1010905,Amun,0
1009152,Ancient One,30
1016824,Ancient One (Ultimate),2
1011684,Angel (Angel Salvadore),5
1011396,Angel (Thomas Halloway),10
1011338,Angel (Ultimate),19
1009153,Angel (Warren Worthington III),117
1017574,Angela (Aldrif Odinsdottir),38
1010674,Anita Blake,9
1009346,Anne Marie Hoag,0
1009154,Annihilus,66
1011301,Anole,6
1010802,Ant-Man (Eric O'Grady),45
1009155,Ant-Man (Hank Pym),43
1010801,Ant-Man (Scott Lang),138
1011208,Anthem,11
1009156,Apocalypse,133
1011253,Apocalypse (Ultimate),3
1010866,Aqueduct,0
1010773,Arachne,6
1017438,Araña,27
1009158,Arcade,35
1010686,Arcana,2
1009159,Archangel,563
1009160,Arclight,14
1010784,Ares,64
1011275,Argent,0
1011012,Armadillo,1
1011298,Armor (Hisako Ichiki),31
1010827,Armory,1
1009740,Arnim Zola,23
1010748,Arsenic,0
1009161,Artiee,0
1010718,Asgardian,0
1009162,Askew-Tronics,0
1010835,Asylum,0
1010336,Atlas (Team),8
1011758,Attuma,49
1009163,Aurora,84
1009164,Avalanche,47
1009165,Avengers,2259
1015239,Avengers (Ultimate),39
1011766,Azazel (Mutant),7
1011456,Balder,100
1009168,Banshee,189
1009596,Banshee (Theresa Rourke),156
1011778,Baron Mordo (Karl Mordo),19
1009169,Baron Strucker,48
1009170,Baron Zemo (Heinrich Zemo),38
1010906,Baron Zemo (Helmut Zemo),36
1011137,Baroness S'Bak,1
1011354,Barracuda,4
1009550,Bart Rozum,2
1009171,Bastion,37
1009172,Batroc the Leaper,31
1009173,Battering Ram,2
1011785,Battlestar,9
1009174,Beak,17
1009175,Beast,835
1010909,Beast (Earth-311),0
1010908,Beast (Ultimate),49
1009176,Becatron,0
1009177,Bedlam,8
1009178,Beef,1
1009179,Beetle (Abner Jenkins),20
1011793,Belasco,2
1009329,Ben Grimm,48
1009489,Ben Parker,21
1011346,Ben Reilly,24
1010782,Ben Urich,55
1010829,Bengal,9
1009180,Beta-Ray Bill,55
1011907,Bethany Cabe,24
1010325,Betty Brant,27
1009548,Betty Ross,70
1011138,Beyonder,26
1011296,Bi-Beast,0
1010843,Big Bertha,7
1009181,Big Wheel,2
1011262,Bill Hollister,0
1009182,Bishop,320
1011224,Bishop (Ultimate),1
1009183,Black Bird,0
1009184,Black Bolt,163
1017330,Black Bolt (Marvel War of Heroes),0
1009185,Black Cat,243
1010910,Black Cat (Ultimate),5
1010859,Black Crow,1
1011809,Black Knight (Dane Whitman),85
1009186,Black Knight (Sir Percy of Scandia),107
1009187,Black Panther,762
1017838,Black Panther (Shuri),61
1011130,Black Panther (Ultimate),10
1010356,Black Queen,2
1010687,Black Tarantula,23
1009188,Black Tom,19
1009189,Black Widow,634
1017296,Black Widow (LEGO Marvel Super Heroes),0
1010911,Black Widow (Ultimate),18
1011498,Black Widow (Yelena Belova),19
1017109,Black Widow/Natasha Romanoff (MAA),1
1009190,Blackheart,12
1010881,Blacklash,5
1011349,Blackout,5
1009191,Blade,147
1009195,Blastaar,37
1010830,Blazing Skull,3
1011291,Blindfold,25
1011836,Bling!,15
1009197,Blink,63
1009198,Blizzard,14
1009199,Blob,78
1011132,Blob (Ultimate),14
1009200,Blockbuster,12
1009201,Blok,6
1009202,Bloke,3
1011416,Blonde Phantom,18
1011073,Bloodaxe,5
1009203,Bloodscream,5
1009204,Bloodstorm,23
1010850,Bloodstrike,0
1011113,Blue Blade,1
1011339,Blue Marvel,40
1011264,Blue Shield,1
1010688,Blur,3
1011119,"Bob, Agent of Hydra",7
1010366,Boom Boom,75
1009205,Boomer,62
1010371,Boomerang,45
1009206,Box,7
1011236,Bride of Nine Spiders (Immortal Weapons),10
1014981,Bromley,0
1009208,Brood,56
1011090,Brother Voodoo,12
1009209,Brotherhood of Evil Mutants,36
1014973,Brotherhood of Mutants (Ultimate),13
1009167,Bruce Banner,127
1009210,Brute,10
1009211,Bucky,86
1011038,Bug,3
1010887,Bulldozer,7
1009212,Bullseye,132
1009213,Bushwacker,12
1011101,Butterfly,8
1009214,Cable,458
1017317,Cable (Deadpool),39
1017307,Cable (Marvel: Avengers Alliance),0
1011252,Cable (Ultimate),2
1017472,Cable (X-Men: Battle of the Atom),0
1011209,Calamity,11
1009216,Caliban,73
1009217,Callisto,38
1010912,Callisto (Age of Apocalypse),1
1009218,Calypso,6
1011139,Cammi,4
1009219,Cannonball,300
1011276,Cap'n Oz,0
1009220,Captain America,2528
1010914,Captain America (House of M),3
1017295,Captain America (LEGO Marvel Super Heroes),0
1017327,Captain America (Marvel War of Heroes),0
1017575,Captain America (Sam Wilson),86
1010913,Captain America (Ultimate),75
1017105,Captain America/Steve Rogers (MAA),0
1009223,Captain Britain,181
1017856,Captain Britain (Betsy Braddock),35
1010915,Captain Britain (Ultimate),3
1011190,Captain Cross,0
1011196,Captain Flint,0
1010338,Captain Marvel (Carol Danvers),640
1011096,Captain Marvel (Genis-Vell),70
1009224,Captain Marvel (Mar-Vell),201
1011095,Captain Marvel (Monica Rambeau),38
1011097,Captain Marvel (Phyla-Vell),18
1011355,Captain Midlands,0
1009225,Captain Stacy,10
1011027,Captain Universe,24
1011052,Cardiac,10
1010143,Caretaker,4
1009226,Cargill,1
1011258,Carlie Cooper,69
1009688,Carmella Unuscione,11
1009227,Carnage,180
1010916,Carnage (Ultimate),7
1009261,Carol Danvers,31
1009344,Carol Hines,0
1011937,Carrion (Malcolm McBride),6
1009478,Cassandra Nova,14
1009230,Catseye,1
1009536,Cecilia Reyes,24
1010813,Celestials,26
1011039,Centennial,12
1011140,Centurions,0
1009231,Cerebro,7
1011141,Cerise,2
1009232,Ch'od,39
1009233,Chamber,57
1009234,Chameleon,44
1010756,Champions,47
